index,json_file,infer_start,infer_end,infer_seconds,infer_returncode,infer_status,infer_ckpt,infer_csv_in,infer_csv_out
16,online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT.json,2025-08-22T20:32:51+08:00,2025-08-22T20:39:40+08:00,408.205,0,success,models/best_model_16.pth,Infer_images/online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT/infer.csv,predictions/online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT_pred.csv
17,online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku.json,2025-08-22T20:39:40+08:00,2025-08-22T20:44:53+08:00,313.473,0,success,models/best_model_17.pth,Infer_images/online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku/infer.csv,predictions/online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku_pred.csv
18,online_exam5_11227253_user_2wOEHNkaoNPdXNbHKmgezQWhkKT.json,2025-08-22T20:44:53+08:00,2025-08-22T20:58:16+08:00,803.205,0,success,models/best_model_18.pth,Infer_images/online_exam5_11227253_user_2wOEHNkaoNPdXNbHKmgezQWhkKT/infer.csv,predictions/online_exam5_11227253_user_2wOEHNkaoNPdXNbHKmgezQWhkKT_pred.csv
19,online_test4_11377005_user_2vt9vAdjkpf200pm0RmM8pq2lZt.json,2025-08-22T20:58:16+08:00,2025-08-22T21:04:56+08:00,399.985,0,success,models/best_model_19.pth,Infer_images/online_test4_11377005_user_2vt9vAdjkpf200pm0RmM8pq2lZt/infer.csv,predictions/online_test4_11377005_user_2vt9vAdjkpf200pm0RmM8pq2lZt_pred.csv
20,online_test4_11377009_user_2w1MjpWogJP6YKlvXIXjUj2Orpa.json,2025-08-22T21:04:56+08:00,2025-08-22T21:09:58+08:00,301.468,0,success,models/best_model_20.pth,Infer_images/online_test4_11377009_user_2w1MjpWogJP6YKlvXIXjUj2Orpa/infer.csv,predictions/online_test4_11377009_user_2w1MjpWogJP6YKlvXIXjUj2Orpa_pred.csv
21,online_test4_11377034_user_2isVlxzxXqw8ALMYICvsTChJhrO.json,2025-08-22T21:09:58+08:00,2025-08-22T21:14:18+08:00,259.962,0,success,models/best_model_21.pth,Infer_images/online_test4_11377034_user_2isVlxzxXqw8ALMYICvsTChJhrO/infer.csv,predictions/online_test4_11377034_user_2isVlxzxXqw8ALMYICvsTChJhrO_pred.csv
1,online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK.json,2025-08-23T12:59:37+08:00,2025-08-23T13:08:14+08:00,517.724,0,success,models/best_model_1.pth,Infer_images/online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK/infer.csv,predictions/online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK_pred.csv
2,online_exam1_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u.json,2025-08-23T13:08:14+08:00,2025-08-23T13:17:20+08:00,545.596,0,success,models/best_model_2.pth,Infer_images/online_exam1_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u/infer.csv,predictions/online_exam1_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u_pred.csv
3,online_exam1_11227218_user_2wLdBAPqVQJuFroDWby3mrZZpTH.json,2025-08-23T13:17:20+08:00,2025-08-23T13:25:51+08:00,511.424,0,success,models/best_model_3.pth,Infer_images/online_exam1_11227218_user_2wLdBAPqVQJuFroDWby3mrZZpTH/infer.csv,predictions/online_exam1_11227218_user_2wLdBAPqVQJuFroDWby3mrZZpTH_pred.csv
4,online_exam2_11027132_user_2wNqlMx9sSQJvK9yP7IzqFVaHKd.json,2025-08-23T13:25:51+08:00,2025-08-23T13:34:32+08:00,520.777,0,success,models/best_model_4.pth,Infer_images/online_exam2_11027132_user_2wNqlMx9sSQJvK9yP7IzqFVaHKd/infer.csv,predictions/online_exam2_11027132_user_2wNqlMx9sSQJvK9yP7IzqFVaHKd_pred.csv
